article_id,column1,column2,column3,column4
6714184, Civil Society- sub-national or local||| Individuals or households, Technological/infrastructural|||Behavioural/cultural, General climate impacts, Clean water & sanitation||| Consumption & production||| Food security||| Health & wellbeing||| Marine & coastal ecosystem services||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities
6714185, Local government||| Private sector corporations||| Private sector SMEs||| National government|||International or multinational governance institutions||| Civil Society- sub-national or local, Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional, Drought|||Sea level rise||| General climate impacts||| Increased frequency and intensity of extreme heat, Work and economic growth
6714191, Local government||| National government|||International or multinational governance institutions, Institutional||| Technological/infrastructural,Sea level rise, Sustainable cities & communities
6714193, Individuals or households,Behavioural/cultural, Increased frequency and intensity of extreme heat, Health & wellbeing
6714195, Local government||| National government||| Individuals or households||| Civil Society- international/multinational/national, Institutional, Other1|||Sea level rise, Sustainable cities & communities||| Health & wellbeing
6714196, Individuals or households||| Sub-national government||| Civil Society- sub-national or local, Technological/infrastructural,Sea level rise||| Other1, Marine & coastal ecosystem services||| Sustainable cities & communities
6714197, Private sector corporations||| Private sector SMEs, Institutional, General climate impacts, No information or not assessed2
6714200, National government||| Local government||| Private sector SMEs||| Civil Society- international/multinational/national, Technological/infrastructural||| Institutional, Extreme precipitation and inland flooding||| General climate impacts||| Precipitation variability, Clean water & sanitation||| Sustainable cities & communities
6714201, Local government||| Other||| Private sector SMEs||| Individuals or households, Technological/infrastructural|||Behavioural/cultural||| Institutional, Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts, Sustainable cities & communities||| Health & wellbeing||| No information or not assessed2||| Peace justice & strong institutions||| Clean water & sanitation
6714202, National government||| Sub-national government||| Local government||| Other||| Civil Society- sub-national or local, Technological/infrastructural, Extreme precipitation and inland flooding, Terrestrial & freshwater ecosystem services||| Health & wellbeing
6714204, Private sector SMEs||| Local government||| National government||| Individuals or households||| Other,Behavioural/cultural||| Institutional||| Technological/infrastructural, General climate impacts||| Precipitation variability|||Sea level rise||| Extreme precipitation and inland flooding, Consumption & production||| Marine & coastal ecosystem services||| Sustainable cities & communities||| Food security
6714205, National government||| Local government||| Private sector corporations, Technological/infrastructural, Drought||| Precipitation variability, Clean water & sanitation
6714206, Civil Society- sub-national or local, Technological/infrastructural, Precipitation variability||| Increased frequency and intensity of extreme heat, Consumption & production
6714208, Private sector corporations||| Sub-national government||| Other||| National government||| Local government||| Private sector SMEs, Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based, Precipitation variability||| Drought||| General climate impacts|||Sea level rise||| Other1||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding, Clean water & sanitation||| Terrestrial & freshwater ecosystem services||| Marine & coastal ecosystem services||| Energy security
6714211, Local government||| Individuals or households||| Other, Institutional|||Behavioural/cultural||| Technological/infrastructural, General climate impacts||| Increased frequency and intensity of extreme heat||| Rising ocean temperature and ocean acidification|||Sea level rise||| Other1, Health & wellbeing||| Clean water & sanitation||| Marine & coastal ecosystem services||| Work and economic growth||| Sustainable cities & communities
